"","x","y","Date","Ignitions","AR","AT","AVPD","Area"
"3141",149.05,-35.3,"2013_09",1,75.5999984741211,19.6666660308838,1.34830892086029,0.83
"3142",149.05,-35.3,"2013_10",0,10.3999996185303,21.8096771240234,1.80005073547363,0.83
"3143",149.05,-35.3,"2013_11",1,89.1999969482422,23.9133338928223,1.99932491779327,0.83
"3144",149.05,-35.3,"2013_12",0,19.7000007629395,28.7774200439453,2.80443286895752,0.83
"3145",149.05,-35.3,"2014_01",5,6.40000009536743,31.6451606750488,3.58563232421875,0.83
"3146",149.05,-35.3,"2014_02",0,107.199996948242,29.4571437835693,2.84385585784912,0.83
"3147",149.05,-35.3,"2014_03",0,67.9000015258789,24.3451614379883,1.53507518768311,0.83
"3148",149.05,-35.3,"2014_04",0,83.0999984741211,19.6200008392334,1.06827878952026,0.83
"3149",149.05,-35.3,"2014_05",1,20.2999992370605,17.3064517974854,1.00455975532532,0.83
"3150",149.05,-35.3,"2014_06",0,55.7000007629395,13.0166664123535,0.623652815818787,0.83
"3151",149.05,-35.3,"2014_07",0,20.2999992370605,12.0161294937134,0.664351999759674,0.83
"3152",149.05,-35.3,"2014_08",0,40.2000007629395,14.1258068084717,0.89195853471756,0.83
"3153",149.05,-35.3,"2014_09",0,30.2000007629395,17.8833332061768,1.16321110725403,0.83
"3154",149.05,-35.3,"2014_10",0,50,22.7612895965576,1.83715355396271,0.83
"3155",149.05,-35.3,"2014_11",0,31.7999992370605,27.703332901001,2.6261785030365,0.83
"3156",149.05,-35.3,"2014_12",0,96.6999969482422,27.6709671020508,2.29961633682251,0.83
"3157",149.05,-35.3,"2015_01",0,113.800003051758,27.3612899780273,2.14358162879944,0.83
"3158",149.05,-35.3,"2015_02",0,36.0999984741211,27.9321422576904,2.25353932380676,0.83
"3159",149.05,-35.3,"2015_03",0,14.1000003814697,26.0193557739258,2.22771120071411,0.83
"3160",149.05,-35.3,"2015_04",0,94.4000015258789,19.1633338928223,1.10231471061707,0.83
"3161",149.05,-35.3,"2015_05",0,13.3000001907349,15.9387092590332,0.94921612739563,0.83
"3162",149.05,-35.3,"2015_06",0,77.1999969482422,13.3266668319702,0.775016725063324,0.83
"3163",149.05,-35.3,"2015_07",0,44,11.0967741012573,0.622972309589386,0.83
"3164",149.05,-35.3,"2015_08",0,74.5,13.3483867645264,0.757701694965363,0.83
"3165",149.05,-35.3,"2015_09",0,12,17.2933330535889,1.14384067058563,0.83
"3166",149.05,-35.3,"2015_10",0,17.2000007629395,24.8064517974854,1.98900365829468,0.83
"3167",149.05,-35.3,"2015_11",0,99.5,24.9933338165283,1.94533956050873,0.83
"3168",149.05,-35.3,"2015_12",0,29,29.1193542480469,2.88831496238708,0.83
"3169",149.05,-35.3,"2016_01",1,105.900001525879,28.4096775054932,2.53138160705566,0.83
"3170",149.05,-35.3,"2016_02",0,28.1000003814697,29.5413799285889,2.69174671173096,0.83
"3171",149.05,-35.3,"2016_03",0,47.5999984741211,27.5354843139648,2.30263066291809,0.83
