"x";"y";"Month";"MR";"MT";"MV"
149,35;-35,05;"12";NA;NA;NA
149,4;-35,05;"01";NA;NA;NA
149,4;-35,05;"02";NA;NA;NA
149,4;-35,05;"03";NA;NA;NA
149,4;-35,05;"04";NA;NA;NA
149,4;-35,05;"05";NA;NA;NA
149,4;-35,05;"06";NA;NA;NA
149,4;-35,05;"07";NA;NA;NA
149,4;-35,05;"08";NA;NA;NA
149,4;-35,05;"09";NA;NA;NA
149,4;-35,05;"10";NA;NA;NA
149,4;-35,05;"11";NA;NA;NA
149,4;-35,05;"12";NA;NA;NA
149,45;-35,05;"01";NA;NA;NA
149,45;-35,05;"02";NA;NA;NA
149,45;-35,05;"03";NA;NA;NA
149,45;-35,05;"04";NA;NA;NA
149,45;-35,05;"05";NA;NA;NA
149,45;-35,05;"06";NA;NA;NA
149,45;-35,05;"07";NA;NA;NA
149,45;-35,05;"08";NA;NA;NA
149,45;-35,05;"09";NA;NA;NA
149,45;-35,05;"10";NA;NA;NA
149,45;-35,05;"11";NA;NA;NA
149,45;-35,05;"12";NA;NA;NA
148,7;-35,1;"01";NA;NA;NA
148,7;-35,1;"02";NA;NA;NA
148,7;-35,1;"03";NA;NA;NA
148,7;-35,1;"04";NA;NA;NA
148,7;-35,1;"05";NA;NA;NA
148,7;-35,1;"06";NA;NA;NA
148,7;-35,1;"07";NA;NA;NA
148,7;-35,1;"08";NA;NA;NA
148,7;-35,1;"09";NA;NA;NA
148,7;-35,1;"10";NA;NA;NA
148,7;-35,1;"11";NA;NA;NA
148,7;-35,1;"12";NA;NA;NA
148,75;-35,1;"01";NA;NA;NA
148,75;-35,1;"02";NA;NA;NA
148,75;-35,1;"03";NA;NA;NA
148,75;-35,1;"04";NA;NA;NA
148,75;-35,1;"05";NA;NA;NA
148,75;-35,1;"06";NA;NA;NA
148,75;-35,1;"07";NA;NA;NA
148,75;-35,1;"08";NA;NA;NA
148,75;-35,1;"09";NA;NA;NA
148,75;-35,1;"10";NA;NA;NA
148,75;-35,1;"11";NA;NA;NA
148,75;-35,1;"12";NA;NA;NA
148,8;-35,1;"01";NA;NA;NA
148,8;-35,1;"02";NA;NA;NA
148,8;-35,1;"03";NA;NA;NA
148,8;-35,1;"04";NA;NA;NA
148,8;-35,1;"05";NA;NA;NA
148,8;-35,1;"06";NA;NA;NA
148,8;-35,1;"07";NA;NA;NA
148,8;-35,1;"08";NA;NA;NA
148,8;-35,1;"09";NA;NA;NA
148,8;-35,1;"10";NA;NA;NA
148,8;-35,1;"11";NA;NA;NA
148,8;-35,1;"12";NA;NA;NA
148,85;-35,1;"01";NA;NA;NA
148,85;-35,1;"02";NA;NA;NA
148,85;-35,1;"03";NA;NA;NA
148,85;-35,1;"04";NA;NA;NA
148,85;-35,1;"05";NA;NA;NA
148,85;-35,1;"06";NA;NA;NA
148,85;-35,1;"07";NA;NA;NA
148,85;-35,1;"08";NA;NA;NA
148,85;-35,1;"09";NA;NA;NA
148,85;-35,1;"10";NA;NA;NA
148,85;-35,1;"11";NA;NA;NA
148,85;-35,1;"12";NA;NA;NA
148,9;-35,1;"01";NA;NA;NA
148,9;-35,1;"02";NA;NA;NA
148,9;-35,1;"03";NA;NA;NA
148,9;-35,1;"04";NA;NA;NA
148,9;-35,1;"05";NA;NA;NA
148,9;-35,1;"06";NA;NA;NA
148,9;-35,1;"07";NA;NA;NA
148,9;-35,1;"08";NA;NA;NA
148,9;-35,1;"09";NA;NA;NA
148,9;-35,1;"10";NA;NA;NA
148,9;-35,1;"11";NA;NA;NA
148,9;-35,1;"12";NA;NA;NA
148,95;-35,1;"01";NA;NA;NA
148,95;-35,1;"02";NA;NA;NA
148,95;-35,1;"03";NA;NA;NA
148,95;-35,1;"04";NA;NA;NA
148,95;-35,1;"05";NA;NA;NA
148,95;-35,1;"06";NA;NA;NA
148,95;-35,1;"07";NA;NA;NA
148,95;-35,1;"08";NA;NA;NA
148,95;-35,1;"09";NA;NA;NA
148,95;-35,1;"10";NA;NA;NA
148,95;-35,1;"11";NA;NA;NA
148,95;-35,1;"12";NA;NA;NA
149;-35,1;"01";NA;NA;NA
149;-35,1;"02";NA;NA;NA
149;-35,1;"03";NA;NA;NA
149;-35,1;"04";NA;NA;NA
149;-35,1;"05";NA;NA;NA
149;-35,1;"06";NA;NA;NA
149;-35,1;"07";NA;NA;NA
149;-35,1;"08";NA;NA;NA
149;-35,1;"09";NA;NA;NA
